File Name,Creation Date,Last Modified Date,Size,Access Frequency
file1.txt,2024-07-24,2024-08-15,1024,weekly
file2.txt,2024-09-29,2024-10-29,2048,daily
file3.txt,2024-10-04,2024-10-18,1024,monthly
file4.txt,2024-08-12,2024-08-13,3072,weekly
file5.txt,2024-09-04,2024-09-23,5120,weekly
file6.txt,2024-07-21,2024-08-09,2048,daily
file7.txt,2024-07-20,2024-07-27,1024,rarely
file8.txt,2024-09-01,2024-09-08,4096,monthly
file9.txt,2024-08-13,2024-09-11,4096,rarely
file10.txt,2024-09-13,2024-09-23,5120,daily
file11.txt,2024-09-05,2024-10-05,2048,daily
file12.txt,2024-09-24,2024-10-23,1024,monthly
file13.txt,2024-07-22,2024-08-19,5120,rarely
file14.txt,2024-09-20,2024-10-01,4096,rarely
file15.txt,2024-07-19,2024-08-08,3072,daily
file16.txt,2024-08-04,2024-09-03,3072,monthly
file17.txt,2024-10-08,2024-10-17,1024,daily
file18.txt,2024-10-02,2024-10-11,1024,rarely
file19.txt,2024-09-19,2024-10-14,3072,daily
file20.txt,2024-10-14,2024-10-16,5120,rarely
file21.txt,2024-10-12,2024-10-18,4096,daily
file22.txt,2024-09-19,2024-10-17,2048,daily
file23.txt,2024-10-20,2024-11-05,5120,rarely
file24.txt,2024-10-17,2024-11-14,4096,daily
file25.txt,2024-10-01,2024-10-18,4096,monthly
file26.txt,2024-09-01,2024-09-08,5120,daily
file27.txt,2024-10-02,2024-10-24,2048,daily
file28.txt,2024-10-12,2024-10-27,5120,daily
file29.txt,2024-08-10,2024-08-31,2048,daily
file30.txt,2024-10-23,2024-10-31,5120,monthly
file31.txt,2024-08-04,2024-08-17,5120,rarely
file32.txt,2024-08-29,2024-09-03,5120,monthly
file33.txt,2024-08-03,2024-08-17,1024,monthly
file34.txt,2024-09-18,2024-10-17,1024,daily
file35.txt,2024-10-12,2024-10-18,1024,daily
file36.txt,2024-08-25,2024-08-30,1024,weekly
file37.txt,2024-10-13,2024-10-19,1024,daily
file38.txt,2024-08-02,2024-08-26,2048,rarely
file39.txt,2024-08-04,2024-08-04,5120,daily
file40.txt,2024-10-08,2024-10-08,1024,weekly
file41.txt,2024-10-10,2024-10-26,4096,weekly
file42.txt,2024-07-31,2024-08-27,4096,daily
file43.txt,2024-10-03,2024-10-21,2048,weekly
file44.txt,2024-08-17,2024-09-02,4096,daily
file45.txt,2024-08-08,2024-08-24,5120,rarely
file46.txt,2024-07-31,2024-08-16,5120,monthly
file47.txt,2024-10-14,2024-10-25,1024,monthly
file48.txt,2024-10-21,2024-10-28,3072,weekly
file49.txt,2024-07-29,2024-08-28,2048,daily
file50.txt,2024-09-17,2024-09-25,5120,monthly
file51.jpg,2024-09-20,2024-09-23,512000,daily
file52.jpg,2024-10-25,2024-10-31,512000,daily
file53.jpg,2024-10-15,2024-11-06,512000,monthly
file54.jpg,2024-08-31,2024-09-08,512000,weekly
file55.jpg,2024-07-26,2024-08-14,512000,monthly
file56.jpg,2024-09-24,2024-10-15,512000,weekly
file57.jpg,2024-07-28,2024-08-08,512000,rarely
file58.jpg,2024-09-20,2024-10-04,512000,monthly
file59.jpg,2024-07-26,2024-08-20,512000,weekly
file60.jpg,2024-07-21,2024-08-09,512000,weekly
file61.jpg,2024-08-24,2024-09-23,512000,monthly
file62.jpg,2024-09-21,2024-10-06,512000,monthly
file63.jpg,2024-08-01,2024-08-18,512000,rarely
file64.jpg,2024-08-16,2024-08-25,512000,weekly
file65.jpg,2024-10-16,2024-11-10,512000,daily
file66.jpg,2024-09-21,2024-10-05,512000,weekly
file67.jpg,2024-10-18,2024-11-03,512000,monthly
file68.jpg,2024-07-19,2024-08-15,512000,monthly
file69.jpg,2024-09-05,2024-09-30,512000,daily
